,Unnamed: 0,text,date,user,location,Clean_Tweet
1331,1331,RT @TogetherWeMask: UC San Francisco detected the first case of #Omicron in the U.S. Support Awareness of Critical Preventive Measures. Spr…,2021-12-02 03:17:15,SongerPamela,"Charleston, SC",: San the first case of Omicron in the U . S . Support Awareness of Critical Preventive . …
1332,1332,"@steeletalk Pfizer (1st shot) + Moderna (2nd shot) + Moderna (booster shot - if offered choice) 

From all I have r… https://t.co/Eoen1lanTN",2021-12-02 02:46:52,gurdipsahota,"Surrey, BC, Canada",( st shot ) + ( nd shot ) + ( booster shot - if choice ) From all I have r …
1333,1333,RT @MissRoshni: #BoosterShot booked! Time to get protected!,2021-12-02 02:28:43,SeTu84690571,,: booked ! Time to get !
1334,1334,#BoosterShot booked! Time to get protected!,2021-12-02 02:26:20,MissRoshni,"Tampa, FL",booked ! Time to get !
1335,1335,"Got some good news: I finally have an appointment to get my Moderna booster! By next weekend, I’ll be extra Moderna… https://t.co/4f7QQySg54",2021-12-02 02:11:40,deathadderdiva,,"Got some good news : I finally have an appointment to get my booster ! By next weekend , I ’ be extra …"
1336,1336,I’m starting to wonder WTF was in that damn #BoosterShot got my body feeling irregular! Got a damn swollen armpit!… https://t.co/LsxeM1t6Oc,2021-12-02 02:09:45,Mandavo,Wisha Nigga Woods!,I ’ m starting to wonder was in that damn got my body feeling irregular ! Got a damn swollen armpit !…
1337,1337,"RT @JessicaZed: Officially boosted and totally over it
#boostershot #CovidBooster #boosted #boosterdose #tripleshot #CovidVaccine #Pfizer #…",2021-12-02 01:46:17,JesusNarrowWay,,: Officially and totally over it …
1338,1338,Now that’s an incline as steep as the Swiss Alps! 🏔 #BoosterShot y’all https://t.co/5wezadO9d4,2021-12-02 01:46:01,peacefulhart,,Now that ’ s an incline as steep as the Swiss ! 🏔 y ’ all
1339,1339,"RT @theinkedknight: 5G extended, logging into the hivemind now, aka just got my #boostershot #TeamPfizer #fauciouchie https://t.co/pZlhzwzc…",2021-12-02 01:45:47,JesusNarrowWay,,": G extended , logging into the now , aka just got my"
1340,1340,"RT @Finetraces786: My parents got their 6G update!!! 💉💙💉💙💉💙

#Boosted #BoosterShot #TeamPfizer #MicrochippedBaby 
#ShotsShotsShots https://…",2021-12-02 01:45:01,JesusNarrowWay,,: My got their G update !!! 💉💙💉💙💉💙
